benchmark,cwe,marker,static_time,symb_time,total_time,exploit,
/bench/results/res-20240929T012449/CWE-22/1003_GHSA-vfp9-gwrh-wq9g/crud-file-server-0.8.0/crud-file-server.js,CWE-22,Exited 0,74.343666,4.007391,78.3981,true,
/bench/results/res-20240929T012449/CWE-22/665_GHSA-fm87-46vv-jqrr/html-pages-2.0.9/lib/server.js,CWE-22,Exited 0,29.573662,8.8e-05,29.6081,false,
/bench/results/res-20240929T012449/CWE-22/382_GHSA-j38m-7q52-fgfh/node-server-forfront-0.10.7/node-server.js,CWE-22,Exited 0,1.862337,0.,1.8976,false,
/bench/results/res-20240929T012449/CWE-22/398_GHSA-756f-6j3f-48q9/calmquist.static-server-0.1.1/static-server.js,CWE-22,Exited 0,33.338267,9.9e-05,33.3736,false,
/bench/results/res-20240929T012449/CWE-22/427_GHSA-xgf5-5gjr-4hjq/zjjserver-1.0.0/index.js,CWE-22,Exited 0,33.633206,9.9e-05,33.6681,false,
/bench/results/res-20240929T012449/CWE-22/393_GHSA-fg6m-q92x-vv38/dcserver-1.0.0/index.js,CWE-22,Exited 0,33.565485,0.000103,33.6022,false,
/bench/results/res-20240929T012449/CWE-22/469_GHSA-rgq8-25qc-h54q/myserver.alexcthomas18-0.0.1/static.js,CWE-22,Exited 0,34.166582,0.000111,34.2014,false,
/bench/results/res-20240929T012449/CWE-22/345_GHSA-c3hr-wwh3-qm54/fsk-server-0.2.1/index.js,CWE-22,Exited 0,35.687389,8.8e-05,35.7302,false,
/bench/results/res-20240929T012449/CWE-22/777_GHSA-73v8-v6g4-vrpm/decompress-zip-0.3.1/lib/extractor.js,CWE-22,Exited 2,0.,0.,0.0415478,false,
/bench/results/res-20240929T012449/CWE-22/GHSA-frpw-jrwx-hcfv/node-red-contrib-huemagic-3.0.0/huemagic/hue-magic.js,CWE-22,Exited 0,38.175253,0.999538,39.218,true,
/bench/results/res-20240929T012449/CWE-22/355_GHSA-gqfv-g9f6-3v3m/serveryaozeyan-1.0.4/index.js,CWE-22,Exited 0,33.879564,8.7e-05,33.9181,false,
/bench/results/res-20240929T012449/CWE-22/990_GHSA-m8cr-q935-8j67/buttle-0.3.1/lib/mid-buttle.js,CWE-22,Exited 0,38.855469,0.,39.8814,false,
/bench/results/res-20240929T012449/CWE-22/344_GHSA-23vf-5g53-hm9q/87de3f13465e9d4d21eb75be8143cdc4085a19b3/server.js,CWE-22,Exited 2,0.,0.,0.024209,false,
/bench/results/res-20240929T012449/CWE-22/363_GHSA-g87g-4x3w-f8jp/serverwzl-1.3.1/src/index.js,CWE-22,Exited 2,0.,0.,0.0258999,false,
/bench/results/res-20240929T012449/CWE-78/GHSA-wj6h-7chw-x4h2/get-git-data-1.3.1/index.js,CWE-78,Exited 0,38.526735,123.731664,162.321,true,
/bench/results/res-20240929T012449/CWE-78/998_GHSA-g8vp-6hv4-m67c/entitlements-1.2.0/index.js,CWE-78,Exited 0,31.170849,1.018641,32.2313,true,
/bench/results/res-20240929T012449/CWE-78/GHSA-753c-phhg-cj29/madge-4.0.0/lib/graph.js,CWE-78,Exited 0,41.768823,4.123208,45.943,true,
/bench/results/res-20240929T012449/CWE-78/1499_GHSA-8whr-v3gm-w8h9/node-rules-4.0.2/lib/node-rules.js,CWE-78,Exited 0,41.233716,13.075572,54.3626,true,
