benchmark,cwe,marker,fuzz_time,expl_time,total_time,taintpath,exploit,
results/nodemedic/20240906-secbench/songcaihong/songcaihong-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.501868597,false,false,
results/nodemedic/20240906-secbench/changeset/changeset-0.1.0_NodeMedic,CWE-471,Exited 0,0.,0.,9.783403976,false,false,
results/nodemedic/20240906-secbench/gitblame/gitblame-0.1.1_NodeMedic,CWE-78,Exited 0,0.,0.,9.824345987,false,false,
results/nodemedic/20240906-secbench/safe-flat/safe-flat-2.0.0_NodeMedic,CWE-471,Exited 0,0.,0.,8.500202235,false,false,
results/nodemedic/20240906-secbench/get-npm-package-version/get-npm-package-version-1.0.6_NodeMedic,CWE-78,Exited 0,0.,0.,10.032700258,false,false,
results/nodemedic/20240906-secbench/node-static-webserver/node-static-webserver-0.0.1_NodeMedic,CWE-22,Exited 0,0.,0.,9.2241083,false,false,
results/nodemedic/20240906-secbench/yyooopack/yyooopack-3.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,8.980208214,false,false,
results/nodemedic/20240906-secbench/ps-kill/ps-kill-1.0.0_NodeMedic,CWE-78,Exited 0,8.041,10.165,38.07306336,true,false,
results/nodemedic/20240906-secbench/gry/gry-5.0.8_NodeMedic,CWE-78,Exited 0,22.844,0.,36.115495782,false,false,
results/nodemedic/20240906-secbench/wffserve/wffserve-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.640425753,false,false,
results/nodemedic/20240906-secbench/dilu/dilu-0.1.3_NodeMedic,CWE-22,Exited 0,0.,0.,9.144145155,false,false,
results/nodemedic/20240906-secbench/diskstats/diskstats-0.0.2_NodeMedic,CWE-78,Exited 0,0.,0.,105.743494484,false,false,
results/nodemedic/20240906-secbench/my-sn/my-sn-1.0.1_NodeMedic,CWE-22,Exited 0,0.,0.,14.366538393,false,false,
results/nodemedic/20240906-secbench/asciitable.js/asciitable.js-1.0.2_NodeMedic,CWE-94,Exited 0,0.,0.,8.912300423,false,false,
results/nodemedic/20240906-secbench/serveryyl/serveryyl-1.1.0_NodeMedic,CWE-22,Exited 0,0.,0.,8.404845545,false,false,
results/nodemedic/20240906-secbench/reduce-css-calc/reduce-css-calc-1.2.0_NodeMedic,CWE-94,Exited 0,0.,0.,8.60332645,false,false,
results/nodemedic/20240906-secbench/ltt/ltt-1.1.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.237240786,false,false,
results/nodemedic/20240906-secbench/servergmf/servergmf-1.1.0_NodeMedic,CWE-22,Exited 0,0.,0.,8.916515945,false,false,
